i_episode 324	reward_accu: 288 	action_length: 3543
i_episode 325	reward_accu: 288 	action_length: 3337
i_episode 326	reward_accu: 288 	action_length: 3622
i_episode 327	reward_accu: 288 	action_length: 3391
i_episode 328	reward_accu: 288 	action_length: 3322
i_episode 329	reward_accu: 288 	action_length: 3510
i_episode 330	reward_accu: 288 	action_length: 4029
i_episode 331	reward_accu: 288 	action_length: 3327
i_episode 332	reward_accu: 288 	action_length: 3513
i_episode 333	reward_accu: 288 	action_length: 3255
i_episode 334	reward_accu: 288 	action_length: 3282
i_episode 335	reward_accu: 288 	action_length: 3433
i_episode 336	reward_accu: 288 	action_length: 3397
i_episode 337	reward_accu: 288 	action_length: 3379
i_episode 338	reward_accu: 288 	action_length: 3292
i_episode 339	reward_accu: 288 	action_length: 3373
i_episode 340	reward_accu: 288 	action_length: 3343
i_episode 341	reward_accu: 288 	action_length: 3361
i_episode 342	reward_accu: 288 	action_length: 3437
i_episode 343	reward_accu: 288 	action_length: 3507
i_episode 344	reward_accu: 288 	action_length: 3535
i_episode 345	reward_accu: 288 	action_length: 3344
i_episode 346	reward_accu: 288 	action_length: 3505
i_episode 347	reward_accu: 25 	action_length: 328
i_episode 348	reward_accu: 288 	action_length: 3341
i_episode 349	reward_accu: 288 	action_length: 3898
i_episode 350	reward_accu: 288 	action_length: 3515
i_episode 351	reward_accu: 288 	action_length: 3262
i_episode 352	reward_accu: 288 	action_length: 3363
i_episode 353	reward_accu: 288 	action_length: 3392
i_episode 354	reward_accu: 288 	action_length: 3347
i_episode 355	reward_accu: 288 	action_length: 3418
i_episode 356	reward_accu: 288 	action_length: 3260
i_episode 357	reward_accu: 288 	action_length: 3488
i_episode 358	reward_accu: 288 	action_length: 3346
i_episode 359	reward_accu: 288 	action_length: 3452
i_episode 360	reward_accu: 288 	action_length: 3330
i_episode 361	reward_accu: 288 	action_length: 3330
i_episode 362	reward_accu: 288 	action_length: 3429
i_episode 363	reward_accu: 288 	action_length: 3364
i_episode 364	reward_accu: 288 	action_length: 3347
i_episode 365	reward_accu: 288 	action_length: 3376
i_episode 366	reward_accu: 288 	action_length: 3377
i_episode 367	reward_accu: 288 	action_length: 3423
i_episode 368	reward_accu: 288 	action_length: 3421
i_episode 369	reward_accu: 31 	action_length: 693
i_episode 370	reward_accu: 288 	action_length: 3282
i_episode 371	reward_accu: 288 	action_length: 3316
i_episode 372	reward_accu: 288 	action_length: 3279
i_episode 373	reward_accu: 288 	action_length: 3450
i_episode 374	reward_accu: 288 	action_length: 3302
i_episode 375	reward_accu: 288 	action_length: 3390
i_episode 376	reward_accu: 288 	action_length: 3392
i_episode 377	reward_accu: 288 	action_length: 3373
i_episode 378	reward_accu: 288 	action_length: 3408
i_episode 379	reward_accu: 288 	action_length: 3581
i_episode 380	reward_accu: 288 	action_length: 3290
i_episode 381	reward_accu: 288 	action_length: 3558
i_episode 382	reward_accu: 288 	action_length: 3972
i_episode 383	reward_accu: 288 	action_length: 4078
i_episode 384	reward_accu: 288 	action_length: 3405
i_episode 385	reward_accu: 288 	action_length: 3261
i_episode 386	reward_accu: 288 	action_length: 3547
i_episode 387	reward_accu: 288 	action_length: 4035
i_episode 388	reward_accu: 288 	action_length: 3459
i_episode 389	reward_accu: 288 	action_length: 3400
i_episode 390	reward_accu: 288 	action_length: 3220
i_episode 391	reward_accu: 288 	action_length: 3366
i_episode 392	reward_accu: 288 	action_length: 3339
i_episode 393	reward_accu: 160 	action_length: 1822
i_episode 394	reward_accu: 288 	action_length: 3477
i_episode 395	reward_accu: 222 	action_length: 2549
i_episode 396	reward_accu: 288 	action_length: 3334
i_episode 397	reward_accu: 288 	action_length: 3422
i_episode 398	reward_accu: 276 	action_length: 3278
i_episode 399	reward_accu: 288 	action_length: 3337
i_episode 400	reward_accu: 288 	action_length: 3374
i_episode 401	reward_accu: 288 	action_length: 3347
i_episode 402	reward_accu: 96 	action_length: 1210
i_episode 403	reward_accu: 288 	action_length: 3437
i_episode 404	reward_accu: 288 	action_length: 3320
i_episode 405	reward_accu: 167 	action_length: 1978
i_episode 406	reward_accu: 288 	action_length: 4361
i_episode 407	reward_accu: 288 	action_length: 3398
i_episode 408	reward_accu: 288 	action_length: 3417
i_episode 409	reward_accu: 288 	action_length: 3315
i_episode 410	reward_accu: 288 	action_length: 3494
i_episode 411	reward_accu: 288 	action_length: 3235
i_episode 412	reward_accu: 195 	action_length: 2238
i_episode 413	reward_accu: 54 	action_length: 711
i_episode 414	reward_accu: 288 	action_length: 3645
i_episode 415	reward_accu: 288 	action_length: 3350
i_episode 416	reward_accu: 288 	action_length: 3314
i_episode 417	reward_accu: 288 	action_length: 3409
